molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1957015,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1ccc(C)cc1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,2.0
CHEMBL1957014,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1cccc(C)c1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,2.0
CHEMBL1957013,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1ccccc1C)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,2.0
CHEMBL575256,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1ccccc1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,2.0
CHEMBL365059,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(N)=O,999.0
CHEMBL2158051,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,12.3
CHEMBL2158052,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,38900.0
CHEMBL456400,CN[C@@H](C)C(=O)N[C@H]1CN(C(C)=O)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,7.6
CHEMBL2158599,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,2.8
CHEMBL2158600,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,6.1
CHEMBL2158601,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,4.5
CHEMBL2158602,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCCCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,8.6
CHEMBL2158603,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCCCCCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,12.9
CHEMBL2158604,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCCCCCCCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,12.4
CHEMBL2158605,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCc2ccc(CCCCC(=O)N3CC[C@H]4CC[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)N4C(=O)[C@@H](NC(=O)[C@H](C)NC)C3)cc2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,17.4
CHEMBL2158606,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CCCCOCCCCC(=O)N2CC[C@H]3CC[C@@H](C(=O)NC(c4ccccc4)c4ccccc4)N3C(=O)[C@@H](NC(=O)[C@H](C)NC)C2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,8.5
CHEMBL2158607,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)c2ccc(C(=O)N3CC[C@H]4CC[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)N4C(=O)[C@@H](NC(=O)[C@H](C)NC)C3)cc2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,21.2
CHEMBL2205247,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CO)CC[C@H]2C(=O)N[C@H](C(=O)NCCCCCNc1c(NCCCCCNC(=O)[C@@H](NC(=O)[C@@H]2CC[C@@H]3CC[C@H](CO)[C@H](NC(=O)[C@H](CC)NC)C(=O)N32)c2ccccc2)c(=O)c1=O)c1ccccc1.O=C(O)C(F)(F)F,2.6
CHEMBL2205248,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CO)CC[C@H]2C(=O)N[C@H](C(=O)NCCNC(=O)CCC#CC#CCCC(=O)NCCNC(=O)[C@@H](NC(=O)[C@@H]1CC[C@@H]2CC[C@H](CO)[C@H](NC(=O)[C@H](CC)NC)C(=O)N21)c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,1.1
CHEMBL2205249,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CNCc1ccccc1)CC[C@H]2C(=O)N[C@@H](c1ccccc1)c1cn(CCCCc2ccc(CCCCn3cc([C@@H](NC(=O)[C@@H]4CC[C@@H]5CC[C@H](CNCc6ccccc6)[C@H](NC(=O)[C@H](CC)NC)C(=O)N54)c4ccccc4)nn3)cc2)nn1.O=C(O)C(F)(F)F,17.6
CHEMBL2204566,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCN)CC[C@H]2C(=O)N[C@H](C(=O)NCCCOCCOCCOCCCNC(=O)[C@@H](NC(=O)[C@@H]1CC[C@@H]2CC[C@H](CCN)[C@H](NC(=O)[C@H](CC)NC)C(=O)N21)c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,1.0
CHEMBL2204567,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNC(=O)CCc1cn(CCOCCOCCOCCNC(=O)[C@@H](NC(=O)[C@@H]3CC[C@@H]4CC[C@H](CO)[C@H](NC(=O)[C@H](CC)NC)C(=O)N43)c3ccccc3)nn1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,1.5
CHEMBL2204568,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1Cn1cc(CCC(=O)NCCOCCOCCOCCNC(=O)[C@@H](NC(=O)[C@@H]3CC[C@@H]4CC[C@H](CO)[C@H](NC(=O)[C@H](CC)NC)C(=O)N43)c3ccccc3)nn1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,5.0
